video,frame_id,id,x1,y1,x2,y2,status
class_1,1,4,32,729,234,886,Focused
class_1,1,8,134,571,305,728,Focused
class_1,1,14,287,447,420,544,Focused
class_1,1,1,292,682,480,884,Focused
class_1,1,13,324,631,520,757,Focused
class_1,1,12,398,514,522,622,Focused
class_1,1,16,647,454,837,555,Focused
class_1,1,15,680,540,821,635,Focused
class_1,1,17,752,644,919,746,Focused
class_1,1,0,794,754,986,929,Focused
class_1,1,10,857,536,972,650,Focused
class_1,1,3,947,594,1104,729,Focused
class_1,1,2,1004,754,1189,925,Focused
class_1,1,9,1254,582,1417,786,Focused
class_1,1,6,1338,496,1488,619,Focused
class_1,1,11,1482,608,1687,742,Focused
class_1,1,7,1475,758,1719,932,Focused
class_1,1,5,1707,761,1909,896,Focused
class_1,10,4,32,729,234,886,Focused
class_1,10,8,134,571,305,728,Focused
class_1,10,14,287,447,420,544,Distracted
class_1,10,1,292,682,480,884,Focused
class_1,10,13,324,631,520,757,Focused
class_1,10,12,398,514,522,622,Focused
class_1,10,16,647,454,837,555,Focused
class_1,10,15,680,540,821,635,Focused
class_1,10,17,752,644,919,746,Distracted
class_1,10,0,794,754,986,929,Focused
class_1,10,10,857,536,972,650,Focused
class_1,10,3,947,594,1104,729,Focused
class_1,10,2,1004,754,1189,925,Focused
class_1,10,9,1254,582,1417,786,Focused
class_1,10,6,1338,496,1488,619,Focused
class_1,10,11,1482,608,1687,742,Distracted
class_1,10,7,1475,758,1719,932,Focused
class_1,10,5,1707,761,1909,896,Focused
class_1,20,4,32,729,234,886,Focused
class_1,20,8,134,571,305,728,Focused
class_1,20,18,231,530,394,625,Focused
class_1,20,14,287,447,420,544,Distracted
class_1,20,1,292,682,480,884,Focused
class_1,20,13,324,631,520,757,Focused
class_1,20,12,398,514,522,622,Focused
class_1,20,16,647,454,837,555,Focused
class_1,20,15,680,540,821,635,Focused
class_1,20,17,752,644,919,746,Distracted
class_1,20,0,794,754,986,929,Focused
class_1,20,10,857,536,972,650,Focused
class_1,20,3,947,594,1104,729,Focused
class_1,20,2,1004,754,1189,925,Focused
class_1,20,9,1254,582,1417,786,Focused
class_1,20,6,1338,496,1488,619,Focused
class_1,20,11,1482,608,1687,742,Distracted
class_1,20,7,1475,758,1719,932,Focused
class_1,20,5,1707,761,1909,896,Focused
